Date : 2023-05-29 03:51:05
Directory : /home/nocymer/Documents/GitHub/sae2-1-tp-4-rigard-riviere-plateau
Total : 75 files,  3733 codes, 1845 comments, 818 blanks, all 6396 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         74 |      3,674 |      1,845 |        784 |      6,303 |
| Markdown |          1 |         59 |          0 |         34 |         93 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         75 |      3,733 |      1,845 |        818 |      6,396 |
| . (Files)                                                                                                         |          1 |         59 |          0 |         34 |         93 |
| src                                                                                                               |         74 |      3,674 |      1,845 |        784 |      6,303 |
| src (Files)                                                                                                       |          1 |        295 |         22 |         49 |        366 |
| src/engine                                                                                                        |         73 |      3,379 |      1,823 |        735 |      5,937 |
| src/engine/controller                                                                                             |          4 |        137 |        122 |         41 |        300 |
| src/engine/dialog                                                                                                 |          2 |         56 |         33 |          5 |         94 |
| src/engine/generation                                                                                             |          3 |        511 |        249 |         61 |        821 |
| src/engine/hud                                                                                                    |         31 |      1,071 |        426 |        193 |      1,690 |
| src/engine/hud (Files)                                                                                            |          4 |        168 |        144 |         12 |        324 |
| src/engine/hud/gameover                                                                                           |          3 |         89 |         28 |         17 |        134 |
| src/engine/hud/map                                                                                                |          2 |         87 |         21 |         16 |        124 |
| src/engine/hud/menu                                                                                               |          4 |        137 |         43 |         27 |        207 |
| src/engine/hud/npc                                                                                                |          2 |         40 |         19 |         10 |         69 |
| src/engine/hud/player                                                                                             |          4 |        194 |         59 |         38 |        291 |
| src/engine/hud/shop                                                                                               |         12 |        356 |        112 |         73 |        541 |
| src/engine/main                                                                                                   |          2 |         63 |         28 |         22 |        113 |
| src/engine/physics                                                                                                |         15 |        744 |        404 |        220 |      1,368 |
